Category,IncomeType,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
FullSample,tried,27.22754897,32.94864495,38.64223156,44.29505338,49.89385496,55.42538086,60.87637563,66.23358385,71.48375006,76.61361883,81.60993473,86.4594423,91.1488861,95.66501071,99.99456067,104.1242805,108.0409149,111.7312083,115.1819053,118.3797504,121.3114883,123.9638634,126.3236204,128.3775038,130.1122581,131.5146279,132.5713578,133.2691924,133.5948761,133.5351536,133.0767694,132.2064681,130.9109942,129.1770923,126.9915069,124.3409827,121.2122641,117.5920958,113.4672222,108.824388,103.6503378
Men,tried,29.94478125,36.67528416,43.34429581,49.93796953,56.44245867,62.84391655,69.12849653,75.28235193,81.29163609,87.14250235,92.82110404,98.3135945,103.6061271,108.6848551,113.5359319,118.1455108,122.4997452,126.5847883,130.3867936,133.8919144,137.0863039,139.9561156,142.4875028,144.6666188,146.4796169,147.9126505,148.951873,149.5834376,149.7934977,149.5682066,148.8937177,147.7561843,146.1417598,144.0365974,141.4268506,138.2986726,134.6382168,130.4316365,125.6650851,120.3247158,114.3966822
Women,tried,20.3995919,23.22254716,26.09488866,29.00696236,31.94911423,34.91169024,37.88503636,40.85949855,43.82542278,46.77315502,49.69304123,52.57542739,55.41065947,58.18908342,60.90104522,63.53689083,66.08696623,68.54161738,70.89119025,73.1260308,75.23648501,77.21289884,79.04561826,80.72498924,82.24135774,83.58506974,84.74647119,85.71590807,86.48372635,87.04027199,87.37589097,87.48092924,87.34573278,86.96064756,86.31601953,85.40219468,84.20951896,82.72833835,80.94899882,78.86184632,76.45722683
Married,tried,30.7744768,37.76134614,44.7043399,51.58837689,58.3983759,65.11925575,71.73593523,78.23333315,84.59636832,90.80995953,96.85902559,102.7284853,108.4032575,113.8682609,119.1084144,124.1086368,128.8538469,133.3289634,137.5189052,141.4085911,144.9829399,148.2268704,151.1253014,153.6631517,155.8253401,157.5967854,158.9624064,159.9071219,160.4158508,160.4735118,160.0650237,159.1753053,157.7892755,155.8918531,153.4679567,150.5025054,146.9804177,142.8866127,138.206009,132.9235254,127.0240809
notMarried,tried,22.28611207,25.77312506,29.17507733,32.48797626,35.7078292,38.83064353,41.85242661,44.76918581,47.57692849,50.27166202,52.84939376,55.30613109,57.63788136,59.84065194,61.91045021,63.84328352,65.63515924,67.28208474,68.78006738,70.12511453,71.31323356,72.34043183,73.20271671,73.89609556,74.41657575,74.76016465,74.92286962,74.90069803,74.68965724,74.28575462,73.68499754,72.88339336,71.87694945,70.66167318,69.2335719,67.588653,65.72292382,63.63239174,61.31306413,58.76094835,55.97205177
Edu,tried,32.22429301,40.85074143,49.42882387,57.94047671,66.36763633,74.69223913,82.89622148,90.96151976,98.87007037,106.6038097,114.1446741,121.4746,128.5755237,135.4293817,142.0181104,148.323646,154.3279251,160.0128839,165.3604589,170.3525864,174.9712029,179.1982448,183.0156483,186.4053499,189.349286,191.829393,193.8276072,195.325865,196.3061029,196.7502571,196.6402642,195.9580604,194.6855821,192.8047659,190.2975479,187.1458646,183.3316525,178.8368478,173.643387,167.7332064,161.0882424
notEdu,tried,20.19847368,21.28846565,22.35500659,23.39474959,24.40434772,25.38045405,26.31972167,27.21880365,28.07435306,28.88302298,29.6414665,30.34633668,30.9942866,31.58196935,32.10603799,32.5631456,32.94994527,33.26309006,33.49923306,33.65502733,33.72712597,33.71218203,33.60684861,33.40777878,33.1116256,32.71504217,32.21468156,31.60719685,30.8892411,30.0574674,29.10852883,28.03907845,26.84576936,25.52525462,24.07418731,22.48922051,20.7670073,18.90420075,16.89745394,14.74341994,12.43875183
Cognitive,tried,28.06734389,34.22444402,40.35165968,46.43461333,52.45892741,58.41022435,64.27412663,70.03625667,75.68223692,81.19768984,86.56823786,91.77950345,96.81710903,101.6666771,106.31383,110.7441903,114.9433804,118.8970227,122.5907396,126.0101538,129.1408875,131.9685632,134.4788034,136.6572305,138.489467,139.9611353,141.0578579,141.7652571,142.0689556,141.9545756,141.4077396,140.4140702,138.9591897,137.0287206,134.6082853,131.6835064,128.2400061,124.263407,119.7393316,114.6534022,108.9912413
notCognitive,tried,26.7394347,31.62753866,36.50520013,41.36034008,46.18087945,50.9547392,55.66984028,60.31410364,64.87545022,69.34180099,73.70107689,77.94119887,82.05008789,86.0156649,89.82585085,93.46856669,96.93173337,100.2032718,103.2711031,106.123148,108.7473275,111.1315627,113.2637744,115.1318836,116.7238113,118.0274784,119.0308058,119.7217146,120.0881256,120.1179598,119.7991382,119.1195816,118.0672112,116.6299478,114.7957123,112.5524258,109.8880091,106.7903833,103.2474692,99.24718787,94.7774602
Interpersonal,tried,29.69228219,38.3209074,46.86472603,55.30757518,63.63329193,71.82571336,79.86867658,87.74601866,95.44157669,102.9391878,110.222689,117.2759174,124.0827101,130.6269042,136.8923367,142.8628449,148.5222657,153.8544362,158.8431935,163.4723748,167.725817,171.5873573,175.0408328,178.0700806,180.6589377,182.7912413,184.4508283,185.621536,186.2872013,186.4316615,186.0387535,185.0923145,183.5761815,181.4741916,178.770182,175.4479897,171.4914517,166.8844053,161.6106874,155.6541351,148.9985856
